ggct_cnv	ggct_exp
0.067	8.9144
0.406	10.3233
0.493	11.2573
0.314	9.9935
1.057	10.8643
-0.003	9.4116
-0.005	10.005
0.173	11.0661
0.023	10.8768
0.005	10.3136
0.815	10.2547
0.001	9.6843
-0.04	10.2635
0.02	11.4242
0.268	9.6065
0.203	10.8856
0.921	11.2622
0.062	10.4897
0.057	10.0957
-0.077	10.0045
0.508	10.4269
-0.019	9.2284
0.077	9.7251
0	10.1564
-0.02	10.1816
2.91	12.3103
-0.001	9.7435
0.66	10.3317
1.173	12.8743
-0.123	9.2031
0.113	9.847
0.029	9.4382
0.059	10.96
0.17	10.4318
0.13	10.9026
0.082	9.9094
-0.011	9.2723
0	9.5075
0.004	10.3703
0.289	10.4741
-0.182	10.1958
0.662	10.2445
-0.019	9.6901
0.015	11.0399
0.305	9.3988
0.866	11.609
0.523	10.6381
0.595	12.1316
0.966	10.9468
0.344	10.6316
0.281	9.8873
0.459	10.3653
1.525	9.4733
-0.001	9.9432
1.422	10.4226
0.089	10.1741
-0.006	9.8608
0.097	10.2154
0.481	10.5099
0.175	9.5373
0.488	10.9981
0.027	10.0761
0.382	11.417
-0.005	10.9389
1.344	11.1449
0.452	10.3243
0.002	10.0543
0.012	9.7045
0.398	12.835
1.279	12.9954
-0.001	10.1059
0.219	10.2252
0.154	9.7332
0.373	10.3602
1.294	11.2352
0.336	11.1169
0.174	10.3249
-0.074	9.808
0.106	9.581
0.006	9.2152
0.244	10.878
0.908	10.7065
0.83	11.5909
-0.032	9.9744
0.275	12.2796
0.083	10.8934
0.041	9.5317
0.393	9.7567
0.414	11.3694
0.013	9.8931
0.003	9.2054
-0.052	9.6744
0.001	10.7135
-0.179	9.597
-0.053	10.7723
0.423	11.6064
-0.002	9.7521
1.227	11.365
0.006	10.4698
0.597	10.5065
0.123	10.4186
0.003	9.6866
0.489	10.1314
0.582	11.0272
-0.011	10.2857
0.116	9.2773
-0.025	9.4173
1.106	10.6886
-0.589	9.6577
0	9.3017
0.427	10.0192
0.1	10.7287
0.166	9.9326
0.54	9.7881
0	9.3563
-0.003	8.8716
0.469	9.6469
0.991	10.9436
1.741	10.3453
-0.778	8.9594
0.017	9.6599
0.313	9.3898
-0.015	9.5902
0.16	11.206
0.243	10.6495
